,Jugador,Regates,Pases Acertados
0,Luka Modrić,20.330555555555556,652.1416666666667
1,Renato Tapia,12.8625,538.3874999999999
2,Álex Berenguer,11.010416666666666,120.06597222222223
3,Mikel Merino,10.775,492.95625
4,Borja García,9.025,151.92083333333332
5,Denis Suárez,8.818055555555556,309.89166666666665
6,Nolito,8.708333333333334,217.70833333333331
7,Raúl Guti,7.9534722222222225,190.88333333333335
8,Guido Rodríguez,7.826388888888889,457.84375
9,Fidel,7.3125,153.5625
10,Frenkie de Jong,7.136111111111111,267.60416666666663
11,Federico Valverde,6.9125,192.06875000000002
12,Edu Expósito,6.58125,255.93749999999997
13,Pedro Mosquera,6.557638888888889,662.3215277777778
14,Gonzalo Melero,6.4375,305.78125
15,David Silva,6.383333333333334,219.69305555555556
16,Manu Trigueros,6.248611111111111,273.80277777777775
17,Mauro Arambarri,6.175,157.11944444444444
18,Yangel Herrera,5.9875,169.64583333333331
19,William Carvalho,5.675,385.9
20,Tomás Pina Isla,5.616666666666666,195.17916666666665
21,Daniel Parejo,5.394444444444445,530.0041666666667
22,Iván Marcone,5.261111111111111,409.70902777777775
23,Luis Milla,5.0777777777777775,193.59027777777777
24,Pedri,4.2555555555555555,218.09722222222223
25,Carlos Soler,4.166666666666667,272.91666666666663
26,Toni Kroos,4.161111111111111,449.4
27,Sergio Busquets,3.654166666666667,478.0868055555555
28,Maxime Gonalons,3.451388888888889,157.77777777777777
29,Rodrigo Battaglia,3.1527777777777777,245.91666666666666
30,Ivan Rakitić,2.795138888888889,281.75
31,Rubén Alcaraz,2.7534722222222223,170.7152777777778
32,Martín Zubimendi,2.7118055555555554,227.79166666666666
33,Saúl Ñíguez,2.654166666666667,154.82638888888889
34,Koke,2.2666666666666666,337.1666666666667
35,Joan Jordán,2.2583333333333333,333.66875
36,Néstor Araujo,2.0520833333333335,346.11805555555554
37,Mikel Vesga,1.9333333333333333,136.78333333333333
38,Unai López,1.8027777777777778,175.77083333333334
39,Mickael Malsa,1.6770833333333333,226.40625
40,Vicente Iborra,1.5583333333333333,209.85555555555558
41,Joseph Aidoo,1.44375,135.7125
42,Sergio Álvarez,1.1847222222222222,169.4152777777778
43,Dani García,1.1125,197.46875
44,Ander Guevara,1.0930555555555554,238.2861111111111
45,Iñigo Pérez,0.5097222222222222,142.7222222222222
46,Oier Sanjurjo,0.0,175.18472222222223
