,Ranking,Puntos,Equipo,Pases acertados
2,1,35,Atlético,15614.6
14,2,33,RealM,19136.5
15,3,29,RealS,19429.3
16,4,26,Sevilla,15336.2
19,5,26,Villarreal,16881.7
3,6,25,Barcelona,16464.9
10,7,24,Granada,12965.5
5,8,23,Celta,15448.1
6,9,19,Cádiz,14758.6
4,10,19,Betis,17037.1
1,11,18,Athletic,16687.7
12,12,18,Levante,16593.7
0,13,18,Alavés,15578.9
9,14,17,Getafe,11287.4
8,15,16,Elche,14539.0
7,16,16,Eibar,13795.3
17,17,15,Valencia,16453.0
18,18,15,Valladolid,15306.5
13,19,13,Osasuna,13188.2
11,20,12,Huesca,17303.9
