,Jugador,Equipo,Recuperaciones,Porcentaje de pases acertados,Asistencias,Porcentaje de regates acertados,Goles encajados,Puntuación Final
11,Javi Galán,Huesca,0.048584143611646285,0.052634413933584374,2.0,0.1442133028093662,0.07569572946426607,0.1897361308903308
3,Yuri Berchiche,Athletic,0.05263282224595014,0.05382241497243053,2.0,0.07465100654440492,0.04371013406934125,0.1573961096934443
10,Aihen Muñoz,RealS,0.049862673706689606,0.04391525054475613,1.0,0.06843008933237117,0.022377621380084693,0.1498303922037322
18,Mario Hermoso,Atlético,0.04875461429098539,0.0570585693021013,1.0,0.043546420484236195,0.014161837530539314,0.14519776654678357
2,Mathías Olivera,Getafe,0.06556018209583263,0.04729764020288046,0.0,0.06013138577151816,0.031078919693501548,0.1419102883767297
7,Carlos Clerc,Levante,0.0532720872934718,0.052541675146309065,1.0,0.09020329957448926,0.0667903495272936,0.13922671248697652
17,Lucas Olaza,Celta,0.05439564404366139,0.050391821441290625,1.0,0.06843008933237117,0.05014621518355342,0.13307133963376977
15,Marcos Acuña,Sevilla,0.048015908013849244,0.053500548409803735,0.0,0.05639883544429791,0.025926799316503973,0.13198849255144693
6,Jordi Alba,Barcelona,0.05087000044823889,0.056943488897891484,3.0,0.02488366884813497,0.03708291542985463,0.1256142427644107
1,Álex Moreno,Betis,0.07031915522738277,0.05233043679751532,1.0,0.06843008933237117,0.08181356739729866,0.11926611395997062
9,Ferland Mendy,RealM,0.04210625779676011,0.05958364039341392,0.0,0.03940328962102172,0.026973025770637798,0.11412016204055796
5,Raúl García,Valladolid,0.04381871325739389,0.04219005929998825,0.0,0.05598825490830368,0.039999998216901395,0.10199702924878443
4,Raúl García,Athletic,0.04381871325739389,0.04219005929998825,0.0,0.05598825490830368,0.039999998216901395,0.10199702924878443
13,Alfonso Espino,Cádiz,0.043976108060760966,0.04523527555159838,1.0,0.06013138577151816,0.06618381323350941,0.0931589561503681
12,Pedro Bigas,Eibar,0.06869968377366123,0.046107664171342336,0.0,0.012441834424067485,0.037012985363041866,0.09023619700602917
8,José Luis Gayà,Valencia,0.04109053666569792,0.050211183769779635,0.0,0.06220917212033743,0.07230768908439866,0.0812032034714163
16,Nacho,Valladolid,0.050970733122393815,0.046790839904270416,1.0,0.02488366884813497,0.05639160587781343,0.07625363599698577
19,Josema,Elche,0.029363574516161655,0.051010454725296805,1.0,0.012441834424067485,0.032367630924765356,0.07044823274076059
20,Carlos Neva,Granada,0.03711999042609115,0.04823756498576518,0.0,0.020740537984920496,0.042533464637432405,0.06356462875934442
14,Iñigo Pérez,Osasuna,0.04740031944956913,0.045991568948753246,0.0,0.006220917212033742,0.04213967662483482,0.05747312898552131
0,Rubén Duarte,Alavés,0.05318685195380224,0.044205488601228846,0.0,0.006220917212033742,0.054047283637995026,0.0495659741290698
