,Jugador,Equipo,Recuperaciones,Porcentaje de pases acertados,Asistencias,Porcentaje de regates acertados,Goles encajados,Puntuación Final
162,Kieran Trippier,Atlético,0.0657816708544397,0.06052857079625847,4.0,0.054694870988473046,0.013628890295376835,0.20737622234379438
123,Jesús Navas,Sevilla,0.06652968985412228,0.057739169362764964,3.0,0.09571602422982783,0.04282810825014431,0.20715677519657077
23,Ximo Navarro,Alavés,0.06494564961950032,0.057900484144460966,0.0,0.10483639396715572,0.061438172125190815,0.16624435560592618
75,Lucas Vázquez,RealM,0.036192919300150214,0.06185060129884835,1.0,0.09526479154417293,0.04489541546992499,0.1584128966732465
37,Damián Suárez,Getafe,0.06635368538360872,0.04881564532767611,0.0,0.06038313757127425,0.02198569957114288,0.1535667687114162
184,Isaac Carcelen,Cádiz,0.08237009220034187,0.052240063679592025,0.0,0.07520544760915045,0.06358313263728668,0.14623247085179766
87,Ferland Mendy,RealM,0.05216772506021652,0.06662761383421516,0.0,0.043304664105123535,0.03407222573844209,0.1280277772611131
136,Pablo Hervías,Valladolid,0.05216772506021652,0.05559541113886904,0.0,0.06608507787182256,0.04866018609164174,0.12518802797926637
99,Andoni Gorosabel,RealS,0.054385381388687266,0.056437128624790014,1.0,0.043304664105123535,0.04150793084261493,0.12261924327598589
62,Daniel Wass,Valencia,0.05860948868101249,0.05696716290750548,0.0,0.0888791653562687,0.08336532041075233,0.12109049653403435
195,Dimitri Foulquier,Granada,0.054913394800227916,0.05644922723341722,2.0,0.036467805231564406,0.054858807307464987,0.11297161995774455
0,Marc Bartra,Betis,0.0715018161461301,0.06105908518249089,0.0,0.0683685887355913,0.08951320539679603,0.11141628466741627
46,Ander Capa,Athletic,0.058774492872118944,0.055203142560343074,1.0,0.062666648435043,0.07990252419236323,0.10674175967514178
148,Mario Gaspar,Villarreal,0.03889698798349478,0.06351817539632115,1.0,0.03418429436779565,0.05416221958125683,0.09243723816635474
12,Emerson,Betis,0.05990552160024863,0.060386722029886174,0.0,0.03645413151381729,0.08239283678568723,0.07435353835826486
112,Jorge Pulido,Huesca,0.07737796540032116,0.06558179124950543,0.0,0.013673717747118262,0.0863163052040533,0.07031716919289153
174,Antonio Barragán,Elche,0.03912579379516239,0.0631000052330556,0.0,0.020510576620677394,0.0636014880450919,0.05913488760380349
