,Jugador,Equipo,Porcentaje de pases acertados,Asistencias,Goles,Porcentaje de regates acertados,Puntuación Final
258,Mikel Oyarzabal,RealS,0.03589226645199175,2.0,6.0,0.028141396902630768,0.22403366335462252
168,Javi Galán,Huesca,0.039055385688339876,2.0,0.0,0.1052215908059333,0.18427697649427316
193,Nolito,Celta,0.03580586749774777,1.0,3.0,0.05598322409629805,0.17178909159404582
239,Rubén García,Osasuna,0.03247797857432374,2.0,3.0,0.022694674921476428,0.15517265349580017
83,Fidel,Elche,0.038757740744831855,2.0,2.0,0.03630240200439369,0.15506014274922555
22,Manu Trigueros,Villarreal,0.042451566625074204,1.0,1.0,0.059006154795838706,0.1414577214209129
129,Gonzalo Melero,Levante,0.044751252386266496,0.0,2.0,0.04085041485865757,0.12560166724492405
74,Tete Morente,Elche,0.03693842016123355,1.0,2.0,0.027242687775740303,0.12418110793697386
92,Pedri,Barcelona,0.04243259082900936,1.0,1.0,0.04085041485865757,0.12328300568766692
0,Luis Rioja,Alavés,0.03552449745206826,1.0,1.0,0.04100473864812361,0.11652923610019188
12,Marc Cucurella,Getafe,0.03207045076359773,1.0,1.0,0.028749614190526337,0.10082006495412407
182,Borja García,Huesca,0.04350828754350026,0.0,1.0,0.035703262586466715,0.09921155012996696
42,Raúl García,Valladolid,0.031305545460317066,0.0,1.0,0.04085041485865757,0.09215596031897463
41,Raúl García,Athletic,0.031305545460317066,0.0,1.0,0.04085041485865757,0.09215596031897463
207,Takashi Inui,Eibar,0.03130592196420724,0.0,0.0,0.058007589099293745,0.089313511063501
68,Jota,Valladolid,0.038135326028101636,1.0,0.0,0.026480146698378695,0.08461547272648033
59,Jota,Alavés,0.038135326028101636,1.0,0.0,0.026480146698378695,0.08461547272648033
143,José Luis Gayà,Valencia,0.037257318956212246,0.0,0.0,0.045389349842952856,0.0826466687991651
268,Nacho Monreal,RealS,0.038708929704784095,0.0,1.0,0.022694674921476428,0.08140360462626053
155,Yunus Musah,Valencia,0.036101000208705075,0.0,1.0,0.023457215998838033,0.07955821620754311
34,Moi Gómez,Villarreal,0.03843825030088288,0.0,0.0,0.040287586920604954,0.07872583722148783
278,Saúl Ñíguez,Atlético,0.042939515666741715,0.0,0.0,0.03328854917482162,0.07622806484156333
221,Bryan,Sevilla,0.030947974337190334,0.0,0.0,0.04042375497013381,0.07137172930732415
219,Bryan,Eibar,0.030947974337190334,0.0,0.0,0.04042375497013381,0.07137172930732415
228,Juan Cruz Armada,Osasuna,0.03449573822255258,0.0,0.0,0.036311479874362285,0.07080721809691487
121,Rubén Rochina,Levante,0.03535694246368614,0.0,0.0,0.03540369287750322,0.07076063534118937
300,Álex Fernández,Cádiz,0.03585747749253953,0.0,0.0,0.03026561847528096,0.06612309596782048
288,Felipe,Atlético,0.042026305481120914,0.0,0.0,0.0,0.042026305481120914
247,Iñigo Pérez,Osasuna,0.03412631260551233,0.0,0.0,0.004538934984295286,0.03866524758980761
