,Jugador,Equipo,Porcentaje de pases acertados,Asistencias,Goles,Porcentaje de regates acertados,Puntuación Final
255,Marcos Llorente,Atlético,0.04142361776898658,1.0,4.0,0.02809191038083237,0.16951552814981896
183,Rubén García,Osasuna,0.03279761830929302,2.0,3.0,0.02045726069096444,0.15325487900025744
32,Manu Trigueros,Villarreal,0.04286936379413192,1.0,1.0,0.05318887779650754,0.13605824159063948
23,Cucho,Getafe,0.034579279288604284,2.0,1.0,0.03845965009901314,0.1330389293876174
89,Josan,Elche,0.0387297965559012,1.0,1.0,0.04705169958921821,0.1257814961451194
146,David Ferreiro,Huesca,0.030430434942414698,2.0,1.0,0.03409816211969953,0.12452859706211424
159,Denis Suárez,Celta,0.03943379217461496,2.0,0.0,0.04363942850596534,0.1230732206805803
111,Pedri,Barcelona,0.04285020124326609,1.0,1.0,0.03682306924373599,0.11967327048700209
100,Fabián Orellana,Valladolid,0.037018398263097996,0.0,2.0,0.03954797636777246,0.11656637463087047
0,Joaquín,Betis,0.04034081958226432,2.0,0.0,0.03600477881609741,0.11634559839836174
12,Allan Nyom,Getafe,0.03114644517635387,2.0,0.0,0.03682306924373599,0.10796951442008987
62,Iker Muniain,Athletic,0.04167079186259526,0.0,1.0,0.04514508289282033,0.1068158747554156
45,Raúl García,Valladolid,0.031613646416511286,0.0,1.0,0.03682306924373599,0.08843671566024727
44,Raúl García,Athletic,0.031613646416511286,0.0,1.0,0.03682306924373599,0.08843671566024727
171,Takashi Inui,Eibar,0.031614026625853865,0.0,0.0,0.052288758326105106,0.08390278495195896
83,Jota,Valladolid,0.03851064389084037,1.0,0.0,0.023869531774217308,0.08238017566505768
74,Jota,Alavés,0.03851064389084037,1.0,0.0,0.023869531774217308,0.08238017566505768
133,Yunus Musah,Valencia,0.0364562967710336,0.0,1.0,0.021144624650180844,0.07760092142121444
200,Pablo Hervías,Valladolid,0.037254280139232154,0.0,0.0,0.03954797636777246,0.07680225650700462
125,Rubén Rochina,Levante,0.03570491620511078,0.0,0.0,0.03191332667790452,0.0676182428830153
191,Jon Moncayola,Osasuna,0.04037316272367279,0.0,0.0,0.024548712829157326,0.06492187555283012
266,Álex Fernández,Cádiz,0.03621037736825543,0.0,0.0,0.027281802857470176,0.0634921802257256
212,Brais Méndez,Celta,0.03683772278350586,0.0,0.0,0.02045726069096444,0.057294983474470304
276,Alejandro Pozo Pozo,Eibar,0.034888769693461164,0.0,0.0,0.008182904276385777,0.043071673969846944
