,Jugador,Equipo,Porcentaje de pases acertados,Asistencias,Goles,Porcentaje de regates acertados,Puntuación Final
112,Iago Aspas,Celta,0.07051989845016446,6.0,9.0,0.12011811883122109,0.4906380172813855
156,Karim Benzema,RealM,0.07669429258198805,5.0,8.0,0.0909675862623663,0.4276618788443543
25,Gerard Moreno,Villarreal,0.0622576143023918,1.0,8.0,0.09057692086727719,0.332834535169669
170,João Félix,Atlético,0.07842522847474057,2.0,5.0,0.06300054003745792,0.28142576851219847
141,Kike,Eibar,0.06317504771077509,0.0,5.0,0.10379060334823226,0.2669656510590074
76,Lionel Messi,Barcelona,0.07843046240616572,1.0,4.0,0.060059059415610544,0.23848952182177627
98,Nolito,Celta,0.06787523316203725,1.0,3.0,0.07085980857395642,0.21873504173599367
67,Fidel,Elche,0.07347093852857291,2.0,2.0,0.045949144557686346,0.19942008308625925
37,Manu Trigueros,Villarreal,0.08047312309782508,1.0,1.0,0.07468603141409384,0.19515915451191893
14,Nabil Fekir,Betis,0.07702158322889963,2.0,1.0,0.05649711022509222,0.19351869345399184
84,Gonzalo Melero,Levante,0.08483251216304356,0.0,2.0,0.05170571405591112,0.17653822621895468
127,Edu Expósito,Eibar,0.07308400145535503,1.0,0.0,0.061288506394273315,0.15437250784962836
0,Joselu,Alavés,0.05439584669167752,1.0,1.0,0.058795141960910485,0.153190988652588
49,Raúl García,Athletic,0.059344217746363344,0.0,1.0,0.05170571405591112,0.13104993180227448
50,Raúl García,Valladolid,0.059344217746363344,0.0,1.0,0.05170571405591112,0.13104993180227448
