Shirt,Player,Team,Formation,Match_x,Nation,Age,Min,Shot Stopping|SoTA,Shot Stopping|GA,Shot Stopping|Saves,Shot Stopping|Save%,Shot Stopping|PSxG,Launched|Cmp,Launched|Att,Launched|Cmp%,Passes|Att,Passes|Thr,Passes|Launch%,Passes|AvgLen,Goal Kicks|Att,Goal Kicks|Launch%,Goal Kicks|AvgLen,Crosses|Opp,Crosses|Stp,Crosses|Stp%,Sweeper|#OPA,Sweeper|AvgDist,Match_y
1,Fernando Pacheco,Alavés,3-5-2,/en/matches/8c3b5490/Alaves-Real-Betis-September-13-2020-La-Liga,es ESP,28-118,90,4,1,3,75.0,0.4,6,12,50.0,24,6,45.8,39.7,6,16.7,27.3,5,0,0.0,0,15.0,/en/matches/8c3b5490/Alaves-Real-Betis-September-13-2020-La-Liga
25,Claudio Bravo,Betis,4-2-3-1,/en/matches/8c3b5490/Alaves-Real-Betis-September-13-2020-La-Liga,cl CHI,37-153,90,2,0,2,100.0,0.9,9,23,39.1,27,4,70.4,52.3,4,100.0,62.5,5,0,0.0,0,10.2,/en/matches/8c3b5490/Alaves-Real-Betis-September-13-2020-La-Liga
1,Rui Silva,Granada,4-2-3-1,/en/matches/98b24ea3/Granada-Alaves-September-20-2020-La-Liga,pt POR,26-226,90,3,1,1,66.7,1.0,4,18,22.2,27,4,51.9,45.3,6,66.7,52.0,7,1,14.3,1,13.7,/en/matches/98b24ea3/Granada-Alaves-September-20-2020-La-Liga
1,Fernando Pacheco,Alavés,3-5-2,/en/matches/98b24ea3/Granada-Alaves-September-20-2020-La-Liga,es ESP,28-125,90,3,2,1,33.3,1.7,6,19,31.6,14,2,78.6,50.4,10,80.0,54.1,10,1,10.0,1,14.0,/en/matches/98b24ea3/Granada-Alaves-September-20-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/0e2e2ec9/Alaves-Getafe-September-26-2020-La-Liga,es ESP,28-131,90,4,0,4,100.0,0.5,20,28,71.4,23,1,91.3,57.3,7,100.0,63.7,12,1,8.3,2,20.3,/en/matches/0e2e2ec9/Alaves-Getafe-September-26-2020-La-Liga
13,David Soria,Getafe,4-4-2,/en/matches/0e2e2ec9/Alaves-Getafe-September-26-2020-La-Liga,es ESP,27-175,90,0,0,0,,0.0,14,36,38.9,33,0,84.8,59.0,9,88.9,57.2,7,2,28.6,4,20.5,/en/matches/0e2e2ec9/Alaves-Getafe-September-26-2020-La-Liga
1,Sergio Asenjo,Villarreal,4-1-4-1,/en/matches/0a2446dc/Villarreal-Alaves-September-30-2020-La-Liga,es ESP,31-094,90,3,1,2,66.7,1.2,8,19,42.1,35,5,28.6,36.5,10,90.0,63.4,12,3,25.0,1,17.0,/en/matches/0a2446dc/Villarreal-Alaves-September-30-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/0a2446dc/Villarreal-Alaves-September-30-2020-La-Liga,es ESP,28-135,90,5,3,3,60.0,2.8,10,19,52.6,29,5,55.2,39.2,5,60.0,46.8,12,1,8.3,0,9.8,/en/matches/0a2446dc/Villarreal-Alaves-September-30-2020-La-Liga
1,Fernando Pacheco,Alavés,3-5-2,/en/matches/02286a68/Alaves-Athletic-Club-October-4-2020-La-Liga,es ESP,28-139,90,1,0,1,100.0,0.2,8,17,47.1,17,1,64.7,46.5,9,66.7,46.9,9,2,22.2,1,15.2,/en/matches/02286a68/Alaves-Athletic-Club-October-4-2020-La-Liga
1,Unai Simón,Athletic,Club,/en/matches/02286a68/Alaves-Athletic-Club-October-4-2020-La-Liga,es ESP,23-115,90,4,1,3,75.0,1.4,8,23,34.8,29,3,55.2,45.2,7,100.0,70.3,12,0,0.0,3,18.4,/en/matches/02286a68/Alaves-Athletic-Club-October-4-2020-La-Liga
